[ 2026-08-09 12:48:34,997 ] 18 root - INFO - Initiate the data ingestion component
[ 2026-08-09 12:48:35,284 ] 96 pymongo.serverSelection - INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 6a7829cb0af45833aed5710c, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-wzlnizu-shard-00-00.99pj2hc.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wzlnizu-shard-00-01.99pj2hc.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wzlnizu-shard-00-02.99pj2hc.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "6a7829cb0af45833aed5710c"}, "remainingTimeMS": 30}
[ 2026-08-09 12:48:36,674 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-09 12:48:36,674 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-09 12:48:36,675 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-09 12:48:36,738 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-09 12:48:36,739 ] 20 root - INFO - Data Ingestion Completed
[ 2026-08-09 12:48:36,752 ] 24 root - INFO - initiate the data validation
[ 2026-08-09 12:48:36,923 ] 32 root - INFO - Required number of columns:2
[ 2026-08-09 12:48:36,924 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-09 12:48:36,924 ] 32 root - INFO - Required number of columns:2
[ 2026-08-09 12:48:36,924 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-09 12:48:37,160 ] 26 root - INFO - Data validation completed
[ 2026-08-09 12:48:37,160 ] 28 root - INFO - data transformation started
[ 2026-08-09 12:48:37,161 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-08-09 12:48:37,161 ] 65 root - INFO - Starting data transformation
[ 2026-08-09 12:48:37,199 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-08-09 12:48:37,199 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-08-09 12:48:37,233 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-09 12:48:37,237 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-09 12:48:37,238 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-09 12:48:37,242 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-09 12:48:37,296 ] 33 root - INFO - data transformation completed
